"","spawning_mode","paternal_care"
"Xenomystus_nigri","pair","male"
"Chirocentrus_dorab","group","none"
"Talismania_bifurcata","group","none"
"Alepocephalus_tenebrosus","group","none"
"Misgurnus_bipartitus","pair","none"
"Opsariichthys_bidens","pair","none"
"Pseudorasbora_parva","pair","male"
"Leuciscus_leuciscus","pair","none"
"Ituglanis_amazonicus","pair","none"
"Henonemus_sp","pair","none"
"Prionobrama_filigera","pair","none"
"Synaptolaemus_cingulatus","pair","male"
"Osmerus_mordax","group","none"
"Hypomesus_pretiosus","group","none"
"Plecoglossus_altivelis","pair","none"
"Merluccius_bilinearis","group","none"
"Gadus_morhua","group","none"
"Monocirrhus_polyacanthus","pair","male"
"Labidesthes_sicculus","pair","none"
"Parma_microlepis","pair","male"
"Plectroglyphidodon_dickii","pair","male"
"Chromis_cyanea","pair","male"
"Azurina_hirundo","pair","male"
"Dascyllus_aruanus","pair","male"
"Chromis_atripectoralis","pair","male"
"Abudefduf_sexfasciatus","pair","male"
"Neoglyphidodon_polyacanthus","pair","male"
"Neopomacentrus_cyanomos","pair","male"
"Amphiprion_ocellaris","pair","male"
"Cirripectes_castaneus","pair","male"
"Stanulus_sp","pair","male"
"Plagiotremus_rhinorhynchos","pair","male"
"Opistognathus_maxillosus","pair","male"
"Parambassis_ranga","pair","none"
"Centropomus_viridis","pair","none"
"Centropomus_ensiferus","pair","none"
"Bothus_lunatus","pair","none"
"Asterorhombus_cocosensis","pair","none"
"Monolene_sp","pair","none"
"Laeops_kitaharae","pair","none"
"Cyclopsetta_chittendeni","pair","none"
"Limanda_limanda","pair","none"
"Pseudopleuronectes_americanus","pair","none"
"Isopsetta_isolepis","pair","none"
"Atheresthes_evermanni","pair","none"
"Echeneis_neucratoides","pair","none"
"Elassoma_zonatum","pair","male"
"Pomoxis_nigromaculatus","pair","male"
"Kuhlia_rupestris","group","none"
"Pentaceros_wheeleri","group","none"
"Polyprion_americanus","group","none"
"Serranus_tigrinus","pair","none"
"Spinachia_spinachia","pair","male"
"Enophrys_taurina","pair","male"
"Perca_fluviatilis","group","none"
"Sphoeroides_nephelus","pair","none"
"Siganus_argenteus","group","none"
"Lethrinus_atkinsoni","group","none"
"Sparus_aurata","pair","none"
"Chaetodon_auriga","pair","none"
"Chaetodon_capistratus","pair","none"
"Haemulon_plumierii","pair","none"
"Pomacanthus_semicirculatus","pair","none"
"Apolemichthys_trimaculatus","pair","none"
"Centropyge_loricula","pair","none"
"Acanthurus_triostegus","group","none"
"Bodianus_axillaris","pair","none"
"Anampses_lineatus","pair","none"
"Scarus_rubroviolaceus","pair","none"
"Scarus_niger","pair","none"
"Chlorurus_gibbus","pair","none"
"Scarus_ghobban","pair","none"
"Astrapogon_puncticulatus","pair","male"
"Ostorhinchus_cookii","pair","male"
"Coryphopterus_personatus","pair","male"
"Valenciennea_strigata","pair","male"
"Valenciennea_puellaris","pair","male"
"Syngnathus_springeri","pair","male"
"Syngnathus_typhle","pair","male"
"Halicampus_dunckeri","pair","male"
"Hippocampus_reidi","pair","male"
"Idiotropiscis_lumnitzeri","pair","male"
"Stigmatopora_nigra","pair","male"
"Microphis_cuncalus","pair","male"
"Microphis_deocata","pair","male"
"Entelurus_aequoreus","pair","male"
"Aulostomus_chinensis","pair","none"
"Synchiropus_moyeri","pair","none"
"Anaora_tentaculata","pair","none"
"Scomberomorus_regalis","pair","none"
