"","habitat","tail.spines"
"Ablepharus_budaki","non-saxicolous","non-spiny"
"Abronia_anzuetoi","non-saxicolous","non-spiny"
"Abronia_frosti","non-saxicolous","non-spiny"
"Acanthodactylus_aureus","non-saxicolous","non-spiny"
"Acanthodactylus_opheodurus","non-saxicolous","non-spiny"
"Acanthodactylus_pardalis","non-saxicolous","non-spiny"
"Acanthodactylus_scutellatus","non-saxicolous","non-spiny"
"Acanthophis_praelongus","non-saxicolous","non-spiny"
"Acanthosaura_crucigera","non-saxicolous","non-spiny"
"Acontias_breviceps","non-saxicolous","non-spiny"
"Acontias_percivali","non-saxicolous","non-spiny"
"Acontias_plumbeus","non-saxicolous","non-spiny"
"Acrochordus_arafurae","non-saxicolous","non-spiny"
"Agama_boulengeri","saxicolous","non-spiny"
"Agama_caudospinosa","saxicolous","spiny"
"Agama_gracilimembris","non-saxicolous","non-spiny"
"Agama_lionotus","saxicolous","non-spiny"
"Agama_mwanzae","saxicolous","spiny"
"Agama_rueppelli","saxicolous","spiny"
"Agama_sankaranica","non-saxicolous","non-spiny"
"Agama_weidholzi","non-saxicolous","non-spiny"
"Ahaetulla_fronticincta","non-saxicolous","non-spiny"
"Aipysurus_eydouxii","non-saxicolous","non-spiny"
"Aipysurus_fuscus","non-saxicolous","non-spiny"
"Alsophis_anomalus","non-saxicolous","non-spiny"
"Alsophis_antiguae","non-saxicolous","non-spiny"
"Alsophis_antillensis","non-saxicolous","non-spiny"
"Alsophis_cantherigerus","non-saxicolous","non-spiny"
"Amblyodipsas_polylepis","non-saxicolous","non-spiny"
"Amblyrhynchus_cristatus","non-saxicolous","non-spiny"
"Ameiva_ameiva","non-saxicolous","non-spiny"
"Ameiva_chrysolaema","non-saxicolous","non-spiny"
"Ameiva_erythrocephala","non-saxicolous","non-spiny"
"Ameiva_exsul","non-saxicolous","non-spiny"
"Ameiva_festiva","non-saxicolous","non-spiny"
"Ameiva_lineolata","non-saxicolous","non-spiny"
"Amphiesma_sauteri","non-saxicolous","non-spiny"
"Amphiglossus_astrolabi","non-saxicolous","non-spiny"
"Amphiglossus_punctatus","non-saxicolous","non-spiny"
"Amphisbaena_barbouri","non-saxicolous","non-spiny"
"Amphisbaena_darwini","non-saxicolous","non-spiny"
"Amphisbaena_ignatiana","non-saxicolous","non-spiny"
"Amphisbaena_mertensii","non-saxicolous","non-spiny"
"Anilius_scytale","non-saxicolous","non-spiny"
"Anniella_geronimensis","non-saxicolous","non-spiny"
