"","V1"
"Nuphar_lutea",3
"Nuphar_pumila",2
"Nuphar_advena",2
"Austrobaileya_scandens",2
"Schisandra_propinqua",2
"Kadsura_heteroclita",2
"Hedyosmum_mexicanum",2
"Chloranthus_spicatus",2
"Chloranthus_erectus",2
"Acorus_gramineus",2
"Posidonia_australis",3
"Ottelia_alismoides",2
"Enhalus_acoroides",3
"Lilaea",3
"Triglochin_striata",2
"Triglochin_maritima",2
"Alisma_plantago",3
"Sagittaria_latifolia",3
"Spathiphyllum",2
"Anthurium",2
"Peltandra_virginica",3
"Typhonium_trilobatum",3
"Arum_italicum",3
"Petrosavia_sakuraii",2
"Narthecium_ossifragum",2
"Dioscorea_communis",2
"Veratrum_lobelianum",2
"Trillium_grandiflorum",2
"Uvularia_grandiflora",2
"Erythronium_grandiflorum",2
"Lilium_superbum",2
"Lilium_leichtlinii",2
"Lilium_martagon",2
"Lilium_philadelphicum",2
"Lilium_auratum",2
"Lilium_speciosum",2
"Babiana_rubrocyanea",2
"Gladiolus_communis",2
"Gladiolus_carneus",2
"Iris_tenax",2
"Iris_versicolor",2
"Hemerocallis",2
"Tulbaghia",2
"Hymenocallis",2
"Pancratium",2
"Narcissus_poeticus",2
"Dipcadi_serotinum",2
"Albuca",2
"Asparagus_densiflorus",2
"Ruscus_aculeatus",2
"Nolina",2
"Polygonatum_pubescens",2
"Phragmipedium_longifolium",2
"Microtis_unifolia",2
"Habenaria",2
"Platanthera",2
"Orchis_militaris",2
"Liparis",2
"Laelia",2
"Zygopetalum",2
"Stanhopea",2
"Commelina_communis",2
"Siderasis_fuscata",2
"Tripogandra",2
"Pontederia_cordata",2
"Pontederia_sagittata",2
"Dilatris",2
"Hedychium_gardnerianum",2
"Canna_indica",2
"Phoenix_dactylifera",2
"Cryptanthus",2
"Billbergia",2
"Nidularium",2
"Aechmea_chantinii",2
"Stegolepis",2
"Xyris",3
"Juncus_bufonius",3
"Schoenus_brevifolius",3
"Schoenus_apogon",3
"Schoenus_maschalinus",3
"Lepidosperma_laterale",3
"Gahnia_lacera",3
"Schoenoplectus_lacustris",3
"Elegia_vaginulata",3
"Bromus_erectus",3
"Elymus",3
"Festuca_pratensis",3
"Koeleria_vallesiana",3
"Hierochloe",3
"Anthoxanthum_odoratum",3
"Saccharum_officinarum",3
"Coix",3
"Dichanthium_annulatum",3
"Panicum_miliaceum",3
"Houttuynia_cordata",2
"Saururus_cernuus",2
"Zippelia_begoniifolia",2
"Manekia_naranjoana",2
"Takhtajania_perrieri",2
"Glossocalyx_longicuspis",2
"Gyrocarpus",2
"Hedycarya_arborea",2
"Cassytha_filiformis",2
"Eusideroxylon_zwageri",2
"Beilschmiedia_ovalis",2
"Potameia",2
"Licaria",2
"Apollonias_barbujana",2
"Magnolia_liliiflora",2
"Goniothalamus",2
"Annona_muricata",2
"Trochodendron_aralioides",2
"Agastachys_odorata",2
"Macadamia_integrifolia",2
"Macadamia_ternifolia",2
"Fumaria",2
"Chelidonium_majus",2
"Papaver_dubium",2
"Papaver_rhoeas",2
"Sargentodoxa",2
"Decaisnea",2
"Cocculus_laurifolius",2
"Nandina_domestica",2
"Epimedium",2
"Berberis_vulgaris",2
"Aquilegia_canadensis",2
"Aquilegia_coerulea",2
"Isopyrum",2
"Helleborus_foetidus",2
"Anemone_nemorosa",3
"Clematis_stans",2
"Ranunculus_hirtellus",2
"Ranunculus_sceleratus",2
"Ranunculus_polyanthemos",2
"Ranunculus_muricatus",2
"Paeonia_lactiflora",2
"Paeonia_peregrina",2
"Corylopsis_willmottiae",2
"Fothergilla_gardenii",2
"Laurembergia",2
"Sempervivum",2
"Sedum",2
"Saxifraga_latepetiolata",2
"Saxifraga_rosacea",2
"Saxifraga_tangutica",3
"Saxifraga_spathularis",2
"Saxifraga_caesia",2
"Chrysosplenium",2
"Saxifraga_punctata",2
"Heuchera_sanguinea",2
"Cayratia",2
"Cyphostemma",2
"Geranium_sanguineum",3
"Ixerba_brexioides",2
"Staphylea_trifolia",2
"Clarkia_pulchella",2
"Clarkia_unguiculata",2
"Punica_granatum",2
"Cuphea",2
"Lythrum_salicaria",2
"Lythrum_junceum",2
"Lawsonia_inermis",2
"Lagerstroemia_indica",2
"Sonneratia_alba",2
"Crypteronia_paniculata",2
"Alzatea_verticillata",2
"Rhynchocalyx_lawsonioides",2
"Pternandra_caerulescens",2
"Medinilla",2
"Heteropyxis",2
"Melaleuca",2
"Psidium",2
"Metrosideros_kermadecensis",2
"Angophora_floribunda",2
"Eucalyptus_woodwardii",2
"Eucalyptus_urophylla",2
"Eucalyptus_nitens",2
"Reseda_lutea",2
"Jacaratia",2
